公司名,工作名,薪资,学历要求,工作经验,是否全职,公司类型,公司规模,任职要求
深圳市网新新思软件有限公司,数据分析,10K-18K,硕士,1-3年,全职,上市公司,1000-9999人,"部门：智能投研项目岗位职责:1、搜集公开市场信息，行业报告，政府公报，公司财报，整理行业相关数据2、研究房地产相关的政策法规，公司基本面，行业现状，协助编写研究报告3、运用sql,python等软件进行数据查询和处理工作4、处理其他紧急需求岗位要求：-1、海内外院校研究生优先，海内外本科名校 优先·2、专业：金融，工商管理，房地产相关专业，有统计，计算机符合背景???先，3、具有编写行业研究经验，尤其是房地产行业研究经验为佳，要求有独立撰写研究报告的经历4、具备基础的财务知识，并熟悉财务报表结构，具备拆解财务报表的能力5、具有政策研究的相关项目经历为佳，包括国家政策与地方，行业的相关政策研究6、具有数据搜集能力，数据采集能力，数据分析能力，能够运用sql语言为佳7、具备快速学习能力，抗压能力，做事认识负责，踏上肯干·，"
上海联恩贸易发展有限公司,数据主管（金山区）,8K-10K,大专,10年以上,全职,民营,100-499人, 工作职责： 1、 负责部门日常业务报表（日、周、月报）的制作，根据业务需求对报表内容项做合理性调整； 2、 负责对各部业务数据需求的处理，同时评估数据需求频繁度，判断是否应归入常规业务报表中； 3、 负责根据不同报价对业务数据进行费用测算，并根据测算结果进行深度数据分析，给出选择建议及说明； 4、 负责多套系统内的库存、进出库记录做同步监控，定位异常原因并跟进处理； 5、 负责月度账单费用数据的复核，并评估费用合理性，对不合理项进行原因分析及反馈； 6、 负责对数据单证组日常工作进行管理； 7、 主导DC日常循环盘点及月度盘点工作； 8、 盘点数据及盘点异常报告的提交，对异常问题进行汇总合并，从异常数据中排查异常原因； 职位要求任职资格1、 精通excel办公软件，熟练使用函数公式及数据透视功能，掌握嵌套函数的使用，具有一定数据可视化处理经验；2、 对业务需求数据的实现方式有较强判断能力，能从各类分散性数据中提炼有效内容，通过数据整理达到所需要求；3、 熟悉仓配企业工作模式，对作业数据有较深认知，对数据合理性能有效辨别，能对异常数据做初步原因定位并核实；4、 对数字敏感，逻辑清晰；5、 有3年以上管理经验，5年以上数据统计处理岗位经验；6、 良好的职业操守及团队合作精神，较强的沟通、理解和分析能力；7、 具有独立工作和学习的能力，工作认真细心，积极性强，主动性强；8、 有一定WMS/ERP使用经验，对系统运行逻辑有一定理解；9、 大专及以上学历；10、 有基础SQL经验者或熟练使用python、R、SAS者优先
兴业银行股份有限公司,软件研发岗,薪资面议,本科,1-3年,全职,国企,10000人以上, 1、岗位职责： （1）负责信息系统项目的开发和维护； （2）参与项目的需求分析工作和数据库设计工作； （3）分析系统运行故障、系统性能调优。 2、应聘条件 （1）具备较强的代码分析能力，具有良好的编码风格； （2）熟悉Java、C/C++/C#、python等至少一种开发语言； （3）熟悉Oracle、DB2、MySQL、Informix等至少一种数据库技术； （4）熟悉Weblogic、Apache、WebSphere、JBoss等至少一种中间件技术； （5）熟悉Linux、AIX、Windows等至少一种操作系统的管理； （6）擅长WEB程序开发，具备丰富J2EE/JSP程序开发经验，熟练掌握spring mvc/ibatis等主流JAVA框架的优先考虑； （7）熟悉MySQL、Hadoop、Redis、MongoDB、Memcached的优先考虑； （8）具备良好的学习能力、沟通能力、表达能力、团队协作能力、抗压能力及责任心； （9）符合以下至少一种情况的优先考虑：擅长java语言且具有分布式框架应用项目经验者；具有金融IT相关领域大中型项目开发建设经验者；具有电子商务系统开发建设经验者；获得IBM、Oracle、微软、计算机技术与软件专业技术资格（水平）考试等相关认证证书的。  
仲利国际租赁有限公司,大数据开发人员（上海）,10K-15K,本科,3-5年,全职,外商独资,1000-9999人,岗位职责：1、负责公司大数据整体方案的设计和规划，包括大数据应用平台设计、搭建和日常优化作业；2、参与计算框架和服务的定制开发，为公司在线实时提供技术支撑；3、基于业务需求和应用场景，设计和实现公司大数据相关产品；4、负责设计、开发、优化数据接入、数据存储、数据计算服务框架；5、负责优化分布式架构，解决大并发下的各种问题。任职要求：1、3年以上大数据相关工作经验；2、有从事分布式数据存储与计算平台应用开发经验，熟悉Hadoop生态相关技术并有相关开发经验，掌握Spark开发技术；3、丰富的数据平台架构经验，精通数据建模理念和实战能力；有海量数据处理经验，在数据开发及应用上有一定的成功经验；4、熟练掌握Hive、Spark、Flume、Kafka、HBase、Storm等Hadoop生态系统组件的使用；5、具备扎实的理论基础和实践能力，具备一定的JAVA、Scala、Python语言的开发能力，具备机器学习算法能力尤佳；6、熟悉MySQL、Oracle数据库及Redis、MongoDB等NoSQL数据库的技术开发；7、有ETL（Extract-Transform-Load）开发经验者优先；8、良好的思维逻辑性、语言表达能力。
浪潮集团有限公司,运维工程师,10K-15K,大专,3-5年,全职,国企,10000人以上,"岗位需要：1、负责线上应用系统的运营维护、性能调优、故障处理等工作2、负责应用系统的运维流程、运维规范制定及实施；3、参与设计和优化应用服务系统的监控实施和监控策略；4、负责相关故障、疑难问题排查处理，编制汇总故障、问题，定期提交汇总报告；5、负责开发运维相关脚本，提高执行效率；6、参与应用系统的整体规划、架构设计及优化容灾等工作；任职要求：1、3年以上应用运维工程师工作经验；2、丰富的Linux系统维护经验，精通centos，熟练openstack、docker等容器技术优先；3、熟悉java及php类应用运维优先；4、掌握shell,perl,python等脚本语言中的一种，可以使用脚本完成一定的自动化工作，熟悉go语言；5、熟练使用高可用架构和负载均衡软件如lvs、haproxy、nginx，熟悉常用监控系统zabbix,nagios等；6、熟练操作mysql、mongoDB、redis的安装、维护、参数配置；?7、精通ansible、saltstack、puppet等自动化运维工具中的一种8、熟悉云计算平台系统架构者或具有大型互联网视频公司从业经历者优先。"
京东物流华东区域分公司,物流数据分析岗,6K-8K,大专,1-3年,全职,外商独资,1000-9999人,岗位职责：1、使用数据库及爬虫等相关软件设计日常自动化工作报表；2、通过海量数据分析对企业提供相应的管理决策支持信息，并实现数据可视化；3、参与物流快递关键数据挖掘，通过大数据算法，实现各项KPI及指标优化；4、与各个业务部门紧密合作，完成数据的收集和分析决策的实施； 任职要求：1、逻辑思维能力强，沟通交流顺畅，有较好的抗压能力；2、熟练使用EXCEL及数据库(mysql、Oracle、pgsql)；3、有Python，或者perl等语言开发经验，能熟练操作网络爬虫；4、会数据可视化软件者优先，Tabluea、Echarts、BDP等会使用一种便可；5、有物流行业经验者优先；
深圳市法本信息技术股份有限公司,初级web前端工程师,9K-12K,大专,1-3年,全职,上市公司,1000-9999人,岗位职责：1、与产品与UED团队密切合作，完成监控系统Web画面功能的设计、开发；2、负责Web产品性能、工艺美观等方面的改进和优化；岗位要求：1、计算机或软件工程本科及以上学历，2年以上工作经验，熟练掌握至少一种主流的前端开发框架和编译打包工具；2、熟练掌握各种Web前端技术，包括HTML(5)/CSS(3)/Javascript(ES6+)等，有实际项目开发经验者为优；3、深刻理解Web标准，对可用性、可访问性、可扩展性等相关知识有实际的理解；?4、具有Node.js、vue、react 、gulp、webpack、Python开发经验，git、svn代码管理使用经验优先；5、学习能力、沟通能力和执行能力强，关注新事物、新技术，个性乐观开朗、喜欢挑战；6、学历全日制统招学信网可查
上海集钢电子商务有限公司,测试工程师,6.5K-8K,大专,不限,全职,民营,100-499人,"岗位职责: 1.熟悉常用软件测试工具,熟悉测试分析技术;2.规范编写项目测试计划、测试用例、测试报告;3.有较强的逻辑分析能力和总结能力;4.熟悉常用缺陷管理工具;任职要求: 1.专科科以上学历,电子工程或计算机等相关专业。2.热爱软件测试工作,工作耐心、细致、认真。3.熟悉perl，python或其他脚本语言者优先考虑。4.有实际软件测试工作经验者优先。"
吉利科技集团,IT 主管,薪资面议,本科,5-10年,全职,民营,100-499人,岗位职责：1.负责服务器及应用环境部署、迁移和维护，保障系统平台稳定运行；2.负责办公系统(AD、Exchange等)日常维护， VMware和Citrix虚拟化平台日常管理；3.负责数据机房的规划、建设与日常维护（电力、空调、UPS、消防等设备正常运行）；4.负责服务器、交换机、路由器、防火墙的设备日常管理；5.负责网络规划、布线及日常维护工作；6.负责制定访问控制策略，制定业务灾难计划，不时验证备份和恢复过程。任职要求：1.大学本科及以上学历，计算机及相关专业，有两年以上相关工作经验；2.熟练掌握linux常用命令；熟悉常见操作系统的安装及维护等；3.精通服务器、存储等基础硬件设备，有数据机房维护经验，具备服务器上架、安装、布线等经验；（必需）4.熟悉VMWARE虚拟化技术（安装、高可靠性方案落地实施、基础运维等）；5.具有CISCO网络设备实践及维护管理经验；6.良好的沟通交流能力及文档编写能力；团队精神。7、会excel vba\access? SQl Python 能力的优先考虑
京东物流华东区域分公司,数据质控经理,10K-15K,大专,1-3年,全职,外商独资,1000-9999人,职责描述：1、负责对大件物流中心KPI指标的监控及持续跟踪改善；2、负责华东大区大件部门运营异常的判责和监控，对已出现案例进行整理分析，指定标准及规范操作；3、负责日常运营数据整理，通过统计学等科学方法对业务数据中涉及到的相关信息进行处理对运营提供数据支持及分析，提供改善及优化方案，并督导优化推进；4、负责质控小组的整体工作；5、负责响应其他相关业务数据分析及沟通对接，支持各种常规或临时数据分析需求。任职要求：1、大专以上学历，统计学、计算机、数学、物流相关专业优先2、3年以上相关工作经验，原则坚定，有较强的逻辑分析能力，熟悉京东物流业务流程3、精通EXCEL，熟悉一种以上分析工具，SQL，POWER BI，Python，spss优先；4、具备良好组织沟通能力，团队精神及高效执行能力，用于承担责任；
苏州复鹄电子科技有限公司,AI软件工程师-上海,20K-40K,本科,3-5年,全职,民营,20人以下, 技能要求：  Python，tensorflow，深度学习  职位描述： 复鹄电子科技有限公司现正集中开发对标美国DAPAR计划，具有革命颠覆性的模拟电路全流程自动化工具，征集有兴趣参与前沿科技探索与产业结合的有志之士： 1. 参与项目需求分析； 2. 调研学术前沿进展； 3. 参与全流程自动化工具的创新和前期预言和原型化开发； 4. 按照工作进度进行项目研发/验证；   职位要求： 1. 计算机科学，数学等理工科相关专业本科以上。 2. 3-5年工作经验。 3. 对机器学习（如深度神经网络，Boosting，最优化算法等）有一定了解。 4. 熟练使用python编程语言，有过大中型编程经验。 5. 良好的沟通能力和学习能力。 6. 能熟练使用英语进行书面和口语交流。 7. 熟悉Linux操作系统以及shell编程者优先。 8. 有半导体背景者优先。
京东物流华东区域分公司,物流数据分析师,10K-15K,大专,3-5年,全职,外商独资,1000-9999人,  职责描述：  1、使用数据库及爬虫等相关软件设计日常自动化工作报表；  2、通过海量数据分析对企业提供相应的管理决策支持信息，并实现数据可视化；  3、参与物流快递关键数据挖掘，通过大数据算法，实现各项KPI及指标优化；  4、与各个业务部门紧密合作，完成数据的收集和分析决策的实施；  5、通过统计学等科学方法对业务数据中涉及到的相关信息进行处理，为业务提供支持，满足公司决策层和各业务部门的数据分析和挖掘需求。   职位要求：  1、大专及以上，物流行业经历优先，逻辑思维能力强，沟通交流顺畅，有较好的抗压能力；  2、熟练使用EXCEL及数据库(mysql、Oracle、pgsql)，能够独立编写存储过程、触发器、函数等数据库程序；  3、有Python，或者perl等语言开发经验，能熟练操作网络爬虫；  4、熟练使用数据可视化软件，Tabluea、Echarts、SAS、BDP等熟练使用一种便可；  5、有基础的shell程序开发能力优先； 
交通银行股份有限公司太平洋信用卡中心,风险计量经理,10K-15K,本科,5-10年,全职,上市公司,1000-9999人,岗位职责：1、负责信贷周期各环节风险计量模型的开发和管理；2、负责推进各类风险计量模型在信贷周期管理中的应用；3、负责推进与外部合作及联合建模工作；4、负责研究和跟进最新前沿的模型开发技术的引进、落地和应用；5、负责风险计量团队管理。岗位要求：1、统招全日制本科学历，硕士学历优先。2、5年以上风险管理相关经验；3年以上风险计量模型开发及实施经验，从事过信用评级、模型开发验证实施、数据质量管理、风险报告、风险监测、组合分析等方面工作；3、精通SAS、Python等工具及机器学习各算法，具备较强的数理统计相关知识背景；4、熟悉信用卡系统、数据及业务管理。5、具备良好的项目管理能力，能够合理安排资源，关注提升团队工作效率；6、具备良好的沟通及展现能力；7、有较强的专业指导能力，关注员工专业技能的培养。
微艾(上海)科技有限公司,大数据研发,20K-35K,本科,5-10年,全职,外商独资,100-499人," 岗位职责: 1. 参与公司数据开发平台、BI产品等大数据产品的设计和开发; 2. 负责数据开发平台、BI产品等大数据产品的部署和维护，保证其稳定和可靠; 3. 关注和参与大数据方向开源产品的技术动态与演进，推动产品与技术架构持续更新;  任职要求: 1. 计算机相关专业，本科及以上学历，5年以上软件开发经验，3年以上互联网产品或分布式系统开发设计经验; 2. 精通Java, Python, Scala等一种或几种编程语言, 并熟悉Linux操作系统及Bash Shell编程; 3. 有Hadoop/Spark/Hive/Presto/HBase/ElasticSearch/Kafka等使用经验, 并熟悉上述常用的分布式系统架构设计和原理; 4. 熟悉微服务框架及相关技术, 如Dubbo, SpringCloud等; 5. 熟悉MySQL、Redis, 并了解或接触过其他数据库如 Oracle, SqlServer, PostgreSQL, MongoDB等; 6. 了解容器技术, 如Docker, Kubernetes; 7. 具有一定的软件设计能力, 热爱大数据和技术，相信技术改变世界，学习能力强，认同数据价值，有面向业务的思维, 较强的自主学习能力和英文技术文档阅读能力; 8. 良好的沟通能力、团队精神及服务意识，勇于接受挑战，能承受较大的工作压力; 9. 有生产环境快速trouble-shooting的经验和能力者优先; 10. 有OLAP，多维度数据分析经验优先，有对数据仓库有较强的理论基础和理解者优先;"
上海兰卫医学检验所股份有限公司,IT技术支持/维护工程师,6K-10K,本科,1-3年,全职,民营,1000-9999人,1、负责Helpdesk技术支持、解决桌面端各类软硬件问题；2、负责内部局域网、WIFI和电话的技术支持；3、IT机房服务器及网络设备的日常巡检；4、协助完成计算机及相关配件的资产管理、采购流程等；5、提供远程电话会议的现场支持工作；6、完成上级安排任务。任职要求：1、计算机技术相关专业本科以上学历；2、熟悉计算机软、硬件，办公设备等的安装调试；3、具有计算机软硬件及外设故障排查计经验；4、对办公软件有一定的了解，能熟练安装、调试；5、需树立良好的用户服务意识，服务态度和蔼，工作耐心、细致、有责任心；6、一年以上企业桌面维护相关服务工作经验者优先；7、具备Java或Python或Power Shell编程基础，能熟练使用Excel，PPT，Access或SQL，有ITIL证书优先。
佳电(上海)管理有限公司北京分公司,软件自动化测试工程师,10K-15K,本科,3-5年,全职,上市公司,1000-9999人,工作职责： 1. 研究测试质量提升，优化测试流程，及提升测试效率； 2. 参与需求分析和评审，对需求的合理性和完备性提供意见； 3. 参与系统设计方案评审，对开发的系统设计提出测试方的意见和评估； 4. 测试分析、测试用例设计、测试执行、测试质量评估和报告； 5. 参与自动化测试开发、实施； 6. 学习和研究新技术以提高测试的效率和质量，满足质量保证的需求。   任职资格： 1. 本科或以上学历，计算机软件、通讯相关专业优先； 2. 1年以上相关技术的开发或自动化测试经验； 3. 熟悉C/C++/JAVA/PHP等开发语言； 4. 了解和熟悉数据结构、算法基础等； 5. 熟悉LINUX基础，熟练使用python、shell、ruby等一种脚本语言； 6. 熟悉主流的自动化测试框架，具有开发自动化测试框架者优先；有单元测试经验者优先； 
上海耕岩智能科技有限公司,资深指纹算法工程师,30K-50K,硕士,5-10年,全职,民营,20-99人,一、岗位职责1. 负责指纹识别算法的研究、开发并产品化；2. 负责指纹识别算法的优化与维护。 二、岗位要求1. 计算机或相关专业，统招硕士以上学历，博士优先考虑；2. 具有5 年以上图像软件开发和模式识别算法工作经验；3. 对算法仿真工具及图像处理开源库有丰富的使用经验，熟悉机器学习或深度学习； 4. 具备扎实的算法和数据结构基础，较强的逻辑思维能力，熟悉光学相关知识者优先；5. 熟练使用 C++、python、matlab； 6. 熟悉AI算法者优先；7. 有指纹识别算法研发的工作经验，并有深入研究，精通算法者优先；8. 责任心强，积极主动，有良好的沟通能力和团队合作精神；9. 有独立分析/解决问题的能力和抗压能力，具备较强的学习能力和执行能力；10. 具备较强沟通协作能力，具带领团队经验者优先。
软通动力信息技术(集团)有限公司,（上海）大数据工程师,14K-18K,本科,3-5年,全职,上市公司,10000人以上,职位描述： 1. 基于分布式技术构建数据平台，解决海量视觉数据的存储、计算需求  2. 将人工智能与分布式计算相结合，构建高性能的视觉数据处理流程和系统   3. 构建多元化的数据分析解决方案，实现海量视频、图像与业务数据的分析和挖掘    岗位职责： 1. 本科或以上学历，计算机相关专业，2年以上相关工作经验  2. 熟悉Linux开发环境，熟练掌握Java/scala/python等任一编程语言，算法基础扎实，编码能力优秀   3. 了解分布式系统的基本原理，具有分布式存储、计算平台（Hadoop、Spark等）的开发和实践经验，熟悉相关系统的运维、调优方法   4. 有一线互联网公司大数据处理、数据仓库建设、及数据安全等方面工作经验者优先   5. 有图像处理、深度学习相关研发经验者优先   6. 责任心强，具有良好的学习能力、沟通能力和团队合作精神
兴业银行股份有限公司,FICC金融量化和产品系统高级架构师,薪资面议,本科,5-10年,全职,国企,10000人以上,"岗位职责：1、负责金融量化交易，产品投资交易、对客交易的系统化分析和功能研究，全面掌握系统源代码，提出高质量架构方案、实施方案和优化方案；2、跟踪分析金融市场业务、金融科技、计量金融的发展趋势，进行新技术新课题的研究与开发，推动和优化企业级系统建设；3、组织应用系统的分析、设计和开发工作，按制订的计划落实各项工作的开展，检查及控制工作进度，保证开发质量和效率；4、组织高级软件工程师按时完成各项开发工作及整理提交各项交付文档；分析和检查提交的交付文档，发现并跟进不符合规范问题，有效管理工作质量；5、负责安排对已投产系统的维护和性能改进工作，对已投产系统进行分析和评估，提出优化方案；6、生产运行发生故障时，能有效统筹协调各项资源，及时查找故障原因并提供应急解决方案，对故障作出紧急处理，保障系统稳定运行。岗位要求：1、全日制硕士及以上学历，计算机相关专业；8年及以上IT或金融行业工作经历，具备深刻的银行金融市场业务知识；2、精通python/java/C++等一种及以上编程语言, 熟悉开源回测交易引擎，具有Oracle/DB2/Hbase等一种及以上数据库的使用经验，和SQL编程经验；3、精通计量金融领域，或金融投资交易领域的相关理论和发展方向，能就本行在该领域的规范和技术发展，或在金融产品创新方面，提出建设性意见；4、作为主要负责人参加过大型项目架构设计、需求分析和研发工作，或作为主要负责人深入维护过某领域级的应用系统；5、具备领导大规模团队组织开展复杂方案或业内领先方案的分析、规划和设计的经验和能力；6、具有良好的职业道德，遵纪守法，品行端正，过往无不良记录，身心健康，具有较强的敬业精神、良好的合作精神和分析能力；积极乐观，领导力和感染力强，耐心细致，高度责任感，团队引导和凝聚能力强，敢于拼搏和担当；7、量化方向具有多种类金融产品量化模型开发经验或量化策略经验,有量化交易软件/系统开发经验者优先；产品方向有Murex或MYSIS Summit系统开发经验者优先，有金融交易类系统开发经验者优先。报名方式有意应聘者请登陆https://app.mokahr.com/apply/cibfintech/1216（可复制至浏览器打开），选择相应岗位提交简历。 经审查符合条件者，将通过电话通知面试时间和地点。未被录用人员的材料将进入我公司人才库，恕不退还，谢绝来访。 "
上海盒境科技有限公司,scratch课研老师,6K-9K,本科,1-3年,全职,民营,20-99人,岗位职责：1、负责协助课程设计师团队完成产品的课程开发工作，包括教学案例作品的设计与制作相应的技术文档（教材、手册等）；2、参与编程课程开发和优化工作，研究和设计基于公司产品的课程体系与教学模式。3、支持并提供教学，提供在课前、课中以及课后所需的材料。任职资格:1、统招本科及以上学历，师范类、理工类、设计创意类相关专业；2、热爱教育行业及愿意推广编程教育、计算思维教育；3、学习能力、团队合作能力强，对前沿的科技教育有浓厚兴趣；4、具备一定编程基础，熟悉Scratch图形化编程、Python编程者优先。
顺丰科技有限公司,TS-大数据产品经理,薪资面议,本科,3-5年,全职,民营,1000-9999人,"岗位职责：""1、构建完善的供应链各环节数据指标体系与分析监控体系；2、搭建面向供应链客户的数据产品平台，规划多维度的数据计算、报表展示、数据分析功能；3、完成市场调研、竞品分析、需求梳理、产品原型设计与PRD文档撰写；4、产品版本计划制定与产品版本需求质量管理，对产品质量负责；5、积极推动和协调产品开发周期、进度把控和需求变更风险管控；6、对用户使用反馈的问题建议整理分析，提出并执行优化方案；""任职资格：""1、3年以上数据产品经验，统计学、数学、计算机专业优先；2、熟练掌握用户和市场研究流程、行业发展趋势、能提炼客户不同业务场景下数据分析需求，落实到产品功能版本计划中；3、熟练掌握数据埋点、数据采集与数据可视化能力；4、熟练掌握数据运营分析体系规范、深刻理解指标体系方法，具备SQL/HIVE/python技能优先；5、熟悉大数据、云计算、AI模型算法等行业技术（hadoop/spark/ML等）；6、有BI项目、商业分析数据平台、数据仓库等实施经验优先；7、有供应链、物流、零售行业相关工作经验优先；"""
北京字节跳动科技有限公司,高级图像算法研发工程师 — 视频增强方向,25K-50K,本科,3-5年,全职,民营,10000人以上,"岗位职责：1、负责基于深度学习的超分辨率算法在流媒体和短视频场景的研究与落地；2、负责视频前、后处理增强算法的研究与落地，包括但不限于视频去噪，色彩增强，视频去抖，视频去模糊，暗光效果提升；3、优化模型和算法在移动端的计算性能；4、探索和实现最新的移动端优化技术；任职要求：1、精通Pythpn,C/C++编程语言，具有扎实的数据结构/算法基础；2、熟悉OpenCV等常用库，熟练使用一种或几种深度学习框架（tensorflow， caffe）；3、有 Android/iOS 开发经验优先；4、有深度学习模型压缩经验优先考虑；5、具备算法开发实现能力，熟悉C/C++、CUDA、Python等编程语言；6、良好的英语能力，能熟练阅读英文论文和专利。"
兴业银行股份有限公司,数据工程师,薪资面议,本科,3-5年,全职,国企,10000人以上,岗位职责：数据平台及应用系统开发；本行大数据相关战略规划，大数据平台及应用系统方案设计，大数据相关领域课题研究等。岗位要求：1、熟悉数据库理论，熟悉Teradata、Greenplum、Oracle、DB2、Informix、SQL Server、MySQL等至少一种数据库技术；2、熟悉大数据开发框架，熟悉Hadoop、Hive、HBase、Spark、Storm、Kafka等大数据主流工具和技术，对大数据基础架构和平台有深刻理解；3、了解或熟悉Python、Java、PHP、Perl等开发语言，熟悉Linux操作系统，Shell编程等；4、具有3年以上大数据平台、数据仓库相关领域项目开发实施经验，具体深厚的数据仓库、数据分析、数据挖掘理论知识，深入了解相关技术；5、熟悉数据分析方法在银行精准营销、智能风控等业务领域应用者优先。报名方式有意应聘者请登陆https://app.mokahr.com/apply/cibfintech/1216（可复制至浏览器打开），选择相应岗位提交简历。 经审查符合条件者，将通过电话通知面试时间和地点。未被录用人员的材料将进入我公司人才库，恕不退还，谢绝来访。 
上海浦东发展银行信用卡中心,大数据开发工程师,20K-30K,本科,1-3年,全职,股份制企业,1000-9999人,"工作内容：    1、计算机及相关专业本科以上学历。      2、扎实的Java/python语言基础，3年以上Java/python开发经验，2年以上大数据相??开发经验, 熟悉大数据相关组件技术Hadoop/HBase/Spark/Hive/Kafka/Storm/Flink/ElasticSearch等。      3、有分布式大数据平台开发经验，对CDH/HDP等大数据集群的应用和调优有一定的经验。      4、有较强的责任心，良好的组织协调能力、优秀的团队合作能力、沟通能力、分析报告撰写能力，有强烈的学习能力和创新应用能力。      5、在技术方面有前瞻性视野，学习能力强，有创新思维，对数据技术和业务发展有高度敏感性。    工作要求：    1.计算机及相关专业本科以上学历；      2.2年以上相关工作经验，至少1年以上Java/J2EE开发经验，熟练使用一种数据库，如Oracle/Mysql      3.Cognos/tableau等BI工具使用经验者优先；      4.有扎实的基本功，较强的学习能力      5.工作认真细致，积极主动，责任心强，抗压能力强。  "
天翼物联科技有限公司,物联网安全研发工程师,20K-30K,本科,3-5年,全职,国企,100-499人,岗位职责：1、跟踪国内外主要物联网安全关键技术、标准、产品发展趋势；2、研究物联网关键技术方案、产品（包括且不局限于终端安全、网络安全、平台安全等方向），编制相关技术规范、产品技术方案等；3、支撑公司物联网安全技术规划；4、研发物联网安全产品，并推动关键技术方案和产品的技术验证，包括且不局限于产品方案制定、推广落地、测试验证、技术支撑等；5、完成上级交办的其他工作。任职要求：1、通信、计算机、信息安全等相关专业，本科及以上学历；2、?三年及以上通信行业安全、物联网安全、信息安全技术研发、产品开发等相关工作经验（优先）；3、三年及以上行业产品、通信产品或物联网技术研究、软件开发等工作经验；4、至少熟练掌握一门编程语言（如C/C++/Java/Python/Go等）；5、了解网络安全、信息安全基础知识，了解主要安全架构、安全技术、安全产品，对物联网有一定的认识；6、至少熟悉1项领域技能：网络信息安全体系评估方法、数据安全技术和防护措施、Web应用开发安全技术、移动应用开发安全机制、云计算平台安全机制等；7、有良好的团队合作精神和独立工作能力，有较强的内驱力。
上海艾杰飞人力资源有限公司,日企产品技术开拓(编号113459) 日语必须,9.3K-12.5K,本科,无经验,全职,外商独资,100-499人,关键词： 产品开发 产品技术开发 生产技术开发  软件开发 日语■基本信息■工作地点：上海市徐汇区工作时间：09:00 - 17:30工资范围：9375 - 12500语言要求：日语熟练 英语不问■职能描述■【工作内容】■ FAE·设计支援工具开发(IoT·AI)■ CAD设计辅助工具开发■ 前端后端技术开发(HTML、PHP、python)【商品】■ 照明器具【公司魅力】■ 稳定性高■ 发展空间大■ 基本无加班■职位要求■■ 本科■ 20-30岁■ 日语商务水平以上（英语一般会话以上优先）■ 行业不含■ 工作经验不问■ CAD系软件（AutoCAD，sketchUP）■ Adobe系软件（Photoshop，illustrator）■ 编码(语言不问)■ 性格开朗，交际能力高【优先条件】■ 建筑室内装饰事务所的工作经验■ BIM工具开发经验■ Revit操作经验■对AeoT产品的兴趣■企业信息■该日资公司主要从事照明器具的企划、开发、照明方案的制定等等，活跃于各类住宅照明事业。此职位为日语职位，工作内容日语必须，特别注明除外。若对此职位有任何疑问，可以通过以下联系方式联系我们。由于应聘者很多，添加时请注明您的信息，谢谢。_______________________________________________________________________★更多日企热门招聘请戳我 ：http://www.rgf-hragent.com.cn★転職をお考えのお知り合いがいらっしゃいましたら、ぜひご紹介ください。プレゼントを用意しております！_______________________________________________________________________上海公司地址：上海市黄浦区淮海中路98号金钟广场5楼0525单元联系方式：(*************邮箱地址：hr@rgf-hragent.com.cn公司主页：http://www.rgf-hragent.com.cn
上海艾杰飞人力资源有限公司,日企广告/资料管理(编号113444) 日语必须,6.2K-10.6K,大专,1-3年,全职,外商独资,100-499人,"关键词： 广告管理 资料管理 新媒体运营■基本信息■工作地点：上海市徐汇区工作时间：09:00 - 17:30工资范围：6250 - 10625语言要求：日语熟练 英语不问■职能描述■【工作内容】■ 产品情报整备■ 群件运营·内容整备■ HP管理(更新数据)■ 微信公共号管理【商品】■ 照明器具■职位要求■■ 大专以上■ 20-30岁■ 日语准商务水平以上（英語日常会话能力优先）■ 行业不问■ 工作经验不问■ Office软件(word，excel，powerpoint)■ Adobe系软件（Photoshop,illustrator）■ 具有一定的沟通能力和商务礼仪【优先条件】■ HP横幅、广告和Web服务等制作经验■ 数据管理经验■ 可以编程(HTML，Python)，或者有兴趣■企业信息■该日资公司主要从事照明器具的企划、开发、照明方案的制定等等，活跃于各类住宅照明事业。此职位为日语职位，工作内容日语必须，特别注明除外。若对此职位有任何疑问，可以通过以下联系方式联系我们。由于应聘者很多，添加时请注明您的信息，谢谢。_______________________________________________________________________★更多日企热门招聘请戳我 ：http://www.rgf-hragent.com.cn★転職をお考えのお知り合いがいらっしゃいましたら、ぜひご紹介ください。プレゼントを用意しております！_______________________________________________________________________上海公司地址：上海市黄浦区淮海中路98号金钟广场5楼0525单元联系方式：(*************邮箱地址：hr@rgf-hragent.com.cn公司主页：http://www.rgf-hragent.com.cn"
